algorithm,run,seed,point_index,f1,f2
MOABC,1,1656798971,1,1.0,0.0
MOABC,1,1656798971,2,0.0,1.0
MOABC,1,1656798971,3,0.12586139781306488,0.6452314533132021
MOABC,1,1656798971,4,0.28896337902032787,0.46244687483447755
MOABC,1,1656798971,5,0.005924214256906455,0.9230313854029983
MOABC,1,1656798971,6,0.7656742418000317,0.1249718668414976
MOABC,1,1656798971,7,0.4676490021679136,0.3161541803715526
MOABC,1,1656798971,8,0.016711175541700263,0.8712144977485077
MOABC,1,1656798971,9,0.05392615657282466,0.7678027509421377
MOABC,1,1656798971,10,0.22400796992441388,0.5267056990379169
MOABC,1,1656798971,11,0.3021220545762472,0.450343694135829
MOABC,1,1656798971,12,0.5120785843138512,0.28452361815069416
MOABC,1,1656798971,13,0.5242831007735553,0.2759260391551459
MOABC,1,1656798971,14,0.4532450414364173,0.3267652458508049
MOABC,1,1656798971,15,0.00280556513757399,0.9470337097467841
MOABC,1,1656798971,16,0.021975383568963558,0.8517624929959562
MOABC,1,1656798971,17,0.7815033605862749,0.1159732127439379
MOABC,1,1656798971,18,0.6599361705877212,0.18763544603562662
MOABC,1,1656798971,19,0.673806705725053,0.17914302105337176
MOABC,1,1656798971,20,0.8497570227493223,0.07847842642044257
MOABC,1,1656798971,21,0.497465968836946,0.29468732548114096
MOABC,1,1656798971,22,0.13745988832341424,0.6294260227809314
MOABC,1,1656798971,23,0.8070794565814143,0.10163887972135721
MOABC,1,1656798971,24,0.25669732625722513,0.4933744058984354
MOABC,1,1656798971,25,0.699143943501873,0.16451946363361306
MOABC,1,1656798971,26,0.35402703589663276,0.4050722038133003
MOABC,1,1656798971,27,0.365448321545651,0.39548055283884914
MOABC,1,1656798971,28,0.03601157196137788,0.8145356192420582
MOABC,1,1656798971,29,0.44172869658734093,0.3353732652177307
MOABC,1,1656798971,30,0.5389400344390699,0.26592602760639783
MOABC,1,1656798971,31,0.026715588480937025,0.8365524441912896
MOABC,1,1656798971,32,0.6873909875184129,0.1711363101252306
MOABC,1,1656798971,33,0.7939715757996809,0.10895469005828418
MOABC,1,1656798971,34,0.9626917760335985,0.018831423233704236
MOABC,1,1656798971,35,0.15238092049894023,0.6096400328538737
MOABC,1,1656798971,36,0.7499182721694171,0.1344914132181478
MOABC,1,1656798971,37,0.635255757589407,0.20297124577182246
MOABC,1,1656798971,38,0.009442529089843554,0.902828448707582
MOABC,1,1656798971,39,0.012803765343156776,0.8906301138991342
MOABC,1,1656798971,40,0.23472112781270726,0.5155197343413178
MOABC,1,1656798971,41,0.3929664108864023,0.3731298186754494
MOABC,1,1656798971,42,0.5796951254465567,0.23873777609493269
MOABC,1,1656798971,43,0.8366823269554133,0.08549923152766131
MOABC,1,1656798971,44,0.0003212815105605154,0.9820769585489025
MOABC,1,1656798971,45,0.5927036598879908,0.23012756286323258
MOABC,1,1656798971,46,0.0013322361895617973,0.9635021802174834
MOABC,1,1656798971,47,0.1974256400614096,0.5556811072900237
MOABC,1,1656798971,48,0.9044403653262222,0.04986324773123815
MOABC,1,1656798971,49,0.18234776687169552,0.572978025305845
MOABC,1,1656798971,50,0.9722968445916824,0.013948863094980002
MOABC,1,1656798971,51,0.10460227105603556,0.6811011121586729
MOABC,1,1656798971,52,0.7405246226613578,0.1395236254168224
MOABC,1,1656798971,53,0.07355159113665027,0.7287960340690972
MOABC,1,1656798971,54,0.5593446776602242,0.25213557051009594
MOABC,1,1656798971,55,0.2119371332184078,0.5396356496667278
MOABC,1,1656798971,56,0.17259363267843944,0.5845564260352901
MOABC,1,1656798971,57,0.14404624581088227,0.6204657514651909
MOABC,1,1656798971,58,0.3129424725948161,0.4407210202814725
MOABC,1,1656798971,59,0.06268420813579183,0.7496318547902073
MOABC,1,1656798971,60,0.5483991970526801,0.2596541517886599
MOABC,1,1656798971,61,0.04742201311909883,0.7823641750534389
MOABC,1,1656798971,62,0.32031253338124727,0.43403840089919343
MOABC,1,1656798971,63,0.5695495547114142,0.24531506513097384
MOABC,1,1656798971,64,0.34321675287313447,0.4141530668375735
MOABC,1,1656798971,65,0.3762073400496818,0.38664256746193915
MOABC,1,1656798971,66,0.48117860426479264,0.30633244226970957
MOABC,1,1656798971,67,0.4138843879453355,0.35666159828450095
MOABC,1,1656798971,68,0.11354630995703321,0.663739291380255
MOABC,1,1656798971,69,0.0989868343298371,0.685378267890853
MOABC,1,1656798971,70,0.26521144067969615,0.48501316455690235
MOABC,1,1656798971,71,0.8649671201269455,0.06999981470395082
MOABC,1,1656798971,72,0.18958568137797466,0.5646875019462226
