run,benchmark_id,benchmark_name,algorithm,seed,archive_size,best_sum,mean_sum,min_f1,min_f2,spacing,hypervolume,time
1,ZDT3,ZDT3 双目标函数,MOABC,3466997040,100,0.07816709366438213,0.625749891148218,0.0,-0.772539095814921,0.013294249910950276,1.3260999583697572,31.56557310000062
2,ZDT3,ZDT3 双目标函数,MOABC,1865520359,100,0.07982178831134934,0.6057660651137587,0.0,-0.769081768731784,0.01348578802607961,1.326364603693969,32.70156320001115
3,ZDT3,ZDT3 双目标函数,MOABC,2114576377,100,0.09562008236679997,0.6081735250822377,0.0,-0.7502517117167282,0.014555315743070089,1.322022177574611,31.50030010001501
4,ZDT3,ZDT3 双目标函数,MOABC,275987469,100,0.08375423063259979,0.6078965147354995,0.0,-0.7692988071389979,0.009054633684065743,1.3240518689820322,31.21245419999468
5,ZDT3,ZDT3 双目标函数,MOABC,2838035662,100,0.08321219539073788,0.6136746431108318,0.0,-0.7679563224234806,0.010361303207660115,1.32644611518546,31.093460600008257
1,ZDT3,ZDT3 双目标函数,MOGABC,3466997040,100,0.09038503183665003,0.5898849449401516,0.0,-0.7657083897551383,0.006362365506463759,1.325284253052013,54.223045699996874
2,ZDT3,ZDT3 双目标函数,MOGABC,1865520359,100,0.08593743408086363,0.6291034368780164,0.0,-0.7611530044258423,0.01127588179736285,1.3236287371610904,56.762040100002196
3,ZDT3,ZDT3 双目标函数,MOGABC,2114576377,100,0.07981138562634871,0.584753462749119,0.0,-0.7729807572602455,0.009304565425320913,1.3277238243844907,52.46047609997913
4,ZDT3,ZDT3 双目标函数,MOGABC,275987469,100,0.08505211292839399,0.6575539778490466,0.0,-0.7614495095897958,0.014276741028498229,1.3234038801920351,52.600817200000165
5,ZDT3,ZDT3 双目标函数,MOGABC,2838035662,100,0.10137536629783828,0.5975344852687522,0.0,-0.7563655273045019,0.008125989689007873,1.3229585038297316,57.03560910001397
