run,benchmark_id,benchmark_name,algorithm,seed,best_value,error,time
1,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1534163993,600.0000003424057,3.4240565582877025e-07,2.968271900000218
2,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1637046044,600.0000001564487,1.5644866380171152e-07,2.9553193000001556
3,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,4016484576,600.0000003707231,3.7072311442898354e-07,2.887726699999803
4,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,641693377,600.000000085924,8.592394351580879e-08,2.883303900000101
5,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2251715246,600.0000006321783,6.321782848317525e-07,2.875237900000684
6,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,128621317,600.0000006285197,6.285197287070332e-07,2.9202502999996796
7,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,148893929,600.0000004021149,4.0211489249486476e-07,3.1283097000005
8,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3556849167,600.0000003650526,3.6505264233710477e-07,3.01285259999986
9,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2911524418,600.0000002630904,2.630904418765567e-07,2.8381366000003254
10,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2676062542,600.0000005185188,5.185188456380274e-07,2.870026399999915
11,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1838878397,600.0000003627059,3.6270591863285517e-07,2.853841499999362
12,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2056505485,600.0000005345336,5.345335694073583e-07,2.874075900000207
13,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2024937034,600.0000004890243,4.890242735200445e-07,2.928055100000165
14,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,169512309,600.0000003904603,3.904602863258333e-07,2.8616038000000117
15,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,4137410125,600.0000005981428,5.981428330414928e-07,2.8602410000003147
16,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3671202812,600.0000002820005,2.8200054202898173e-07,2.878959399999985
17,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2481267405,600.0000017808994,1.780899424375093e-06,2.832146400000056
18,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2842558689,600.0000003294117,3.294117050245404e-07,2.8786411000000953
19,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3767523017,600.0000003019238,3.0192381927918177e-07,3.1344113000004654
20,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2934850768,600.0000003780425,3.780425004151766e-07,3.063264899999922
21,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1665373723,600.0000004487388,4.4873877413920127e-07,2.9130230999999185
22,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3700673340,600.0000006055822,6.055821586414822e-07,2.9238563999997496
23,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1002348104,600.0000004040401,4.040400654048426e-07,2.8609497999996165
24,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1093799548,600.0000005668703,5.668703124683816e-07,2.829228000000512
25,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,4163623331,600.0000019760474,1.976047428797756e-06,2.894136700000672
26,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,4214182624,600.0000003414333,3.4143329230573727e-07,2.868886299999758
27,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2638028251,600.0000002831991,2.831991423590807e-07,2.884499599999799
28,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3535296998,600.0000003873322,3.8733219298592303e-07,2.905307100000755
29,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,784245254,600.0000005320608,5.320607670000754e-07,2.8668995999996696
30,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3827824968,600.0000014034874,1.4034874311619205e-06,2.855217499999526
31,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3723055743,600.000000356719,3.5671905607159715e-07,2.86944240000048
32,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2446362558,600.0000004191684,4.1916837290045805e-07,2.932045499999731
33,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3390051320,600.0000014079448,1.407944751008472e-06,3.010751299999356
34,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1002863177,600.0000006773629,6.773628911105334e-07,2.8933452000001125
35,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,496070039,600.0000020824757,2.08247570299136e-06,2.890352200000052
36,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2409486307,600.0000001977883,1.977882675419096e-07,2.914233000000422
37,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1236730543,600.0000002664691,2.6646910100680543e-07,2.8519914000007702
38,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3256016829,600.0000003440741,3.440741238591727e-07,2.914314800000284
39,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3586654590,600.0000002971917,2.971917183458572e-07,2.853511499999513
40,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3217137231,600.0000005796875,5.796874802399543e-07,2.8458341999994445
41,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,910593038,600.0000000746086,7.460857887053862e-08,2.9003113999997368
42,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3378460816,600.0000005057486,5.057486305304337e-07,2.936638600000151
43,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1500015310,600.000000433232,4.3323200316081056e-07,2.947735200000352
44,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3166524707,600.0000005233327,5.233326874076738e-07,2.8833324999995966
45,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3294245154,600.0000003927681,3.927681291315821e-07,3.0649469999998473
46,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1815241821,600.0000002394726,2.394725697740796e-07,2.8373430000001463
47,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,110113734,600.000000552107,5.521070534086903e-07,2.8642512999995233
48,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2007396104,600.000000651775,6.517750534840161e-07,2.920968299999913
49,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1904121558,600.0000004685679,4.685679186877678e-07,2.8918361999994886
50,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,644797153,600.0000003389206,3.389205858184141e-07,2.8673165999998673
51,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3527325944,600.0000013800876,1.3800876104141935e-06,2.8889853999999104
52,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,2127844714,600.0000001369181,1.3691806088900194e-07,2.8655680000001666
53,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3021028297,600.0000013858676,1.3858675629307982e-06,2.841799699999683
54,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,3635707931,600.0000007064216,7.064215878926916e-07,2.837615100000221
55,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1628684133,600.0000008503632,8.50363221616135e-07,2.872053200000664
56,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,480506989,600.0000003752959,3.752959401026601e-07,2.892215399999259
57,CEC2022_F3,官方 CEC2022 F3 平移旋转 Schaffer's F7 函数,ABC,1217195140,600.0000006252844,6.252844286791515e-07,2.8511806999995315
